archivo,crs,width,height,res_width,res_height,nodata,dtype,count
recorte_invierno_GTiff.tif,EPSG:32721,2890,2897,10.0,10.0,-9999.0,float32,1
recorte_verano_GTiff.tif,EPSG:32721,2890,2897,10.0,10.0,-9999.0,float32,1
